,comp2,comp3,comp4
LC028624.1.1525,0.003813836011057402,0.001939017677396651,0.001407969913152583
AATC01000018.2.1513,0.008198926102659172,-0.011293303052981802,-9.322896321083597e-05
AB506430.1.1524,-0.013940126983109136,0.00485060273430619,0.002700548761151545
AB606306.1.1512,-0.0011205991668110295,0.006001580993492885,0.0006817877421983223
AB627590.1.1524,-0.005004223617002365,0.008503598616062886,0.0009111331467678837
AB969320.1.1524,0.007472555767646547,0.0006285259436573539,0.0022070204476332864
AB969520.1.1523,-0.0931229185658081,-0.0069925335228154355,-0.06845109638463993
ACTP02000009.47.1566,-0.05133977275088836,0.06935425445006993,-0.05240594656693446
ACTP02000011.422074.423593,0.005999405909258543,-0.016217596795101454,0.0027369968893781174
ADLO01000142.506.2025,-0.09615629164299086,0.07404011703440237,-0.03734633052294478
AGYM01000049.26155.27674,0.0009282147904448755,-0.013631012280672905,0.00306712676302443
AGYU01000014.10038.11557,0.0015227871545430548,0.0019279550016053685,-0.0010743648237915046
AWST01000112.51.1570,-0.02076723171072841,0.04156171349711996,-0.0066400159898633085
AY792237.1.1524,4.1637727201192785e-05,-2.445738345507052e-05,-0.0002654259632123732
EF025906.1.1521,0.0011479571295960431,0.12102473767126182,-0.05113142925585351
EU791025.1.1513,0.006586459797944377,0.005226296447580932,0.0025250270346148245
FPLO01004733.18.1529,0.003118553958999338,0.0012045503899653339,0.0011354633222439786
